Запуск; Начальные координаты X; Начальные координаты Y; Ширина; Высота
Запуск; 0; 0; 30; 30
Шаг; X; Y
0; 1; 1
1; 3; 2
2; 1; 3
3; 2; 1
4; 4; 2
5; 6; 1
6; 8; 2
7; 10; 1
8; 12; 2
9; 14; 1
10; 16; 2
11; 18; 1
12; 20; 2
13; 22; 1
14; 24; 2
15; 26; 1
16; 28; 2
17; 30; 1
18; 29; 3
19; 30; 5
20; 29; 7
21; 30; 9
22; 29; 11
23; 30; 13
24; 29; 15
25; 30; 17
26; 29; 19
27; 30; 21
28; 29; 23
29; 30; 25
30; 29; 27
31; 30; 29
32; 28; 30
33; 26; 29
34; 24; 30
35; 22; 29
36; 20; 30
37; 18; 29
38; 16; 30
39; 14; 29
40; 12; 30
41; 10; 29
42; 8; 30
43; 6; 29
44; 4; 30
45; 2; 29
46; 1; 27
47; 2; 25
48; 1; 23
49; 2; 21
50; 1; 19
51; 2; 17
52; 1; 15
53; 2; 13
54; 1; 11
55; 2; 9
56; 1; 7
57; 2; 5
58; 3; 7
59; 1; 8
60; 2; 10
61; 1; 12
62; 2; 14
63; 1; 16
64; 2; 18
65; 1; 20
66; 2; 22
67; 1; 24
68; 2; 26
69; 1; 28
70; 2; 30
71; 3; 28
72; 1; 29
73; 3; 30
74; 5; 29
75; 7; 30
76; 8; 28
77; 9; 30
78; 7; 29
79; 5; 30
80; 3; 29
81; 1; 30
82; 2; 28
83; 1; 26
84; 3; 27
85; 4; 29
86; 6; 30
87; 5; 28
88; 4; 26
89; 2; 27
90; 4; 28
91; 6; 27
92; 5; 25
93; 4; 27
94; 6; 28
95; 8; 29
96; 10; 30
97; 9; 28
98; 11; 29
99; 13; 30
100; 12; 28
101; 11; 30
102; 9; 29
103; 7; 28
104; 5; 27
105; 3; 26
106; 1; 25
107; 3; 24
108; 4; 22
109; 2; 23
110; 3; 25
111; 5; 26
112; 7; 27
113; 6; 25
114; 4; 24
115; 6; 23
116; 7; 25
117; 8; 27
118; 10; 28
119; 12; 29
120; 14; 30
121; 13; 28
122; 15; 29
123; 17; 30
124; 16; 28
125; 15; 30
126; 13; 29
127; 11; 28
128; 9; 27
129; 7; 26
130; 8; 24
131; 9; 26
132; 11; 27
133; 10; 25
134; 8; 26
135; 10; 27
136; 12; 26
137; 14; 27
138; 13; 25
139; 12; 27
140; 14; 28
141; 16; 29
142; 18; 30
143; 17; 28
144; 19; 29
145; 21; 30
146; 20; 28
147; 19; 30
148; 17; 29
149; 15; 28
150; 13; 27
151; 11; 26
152; 9; 25
153; 7; 24
154; 6; 26
155; 5; 24
156; 3; 23
157; 4; 25
158; 2; 24
159; 1; 22
160; 2; 20
161; 1; 18
162; 3; 19
163; 4; 21
164; 5; 23
165; 3; 22
166; 1; 21
167; 3; 20
168; 5; 21
169; 4; 23
170; 6; 24
171; 8; 25
172; 10; 26
173; 11; 24
174; 9; 23
175; 7; 22
176; 6; 20
177; 5; 22
178; 3; 21
179; 4; 19
180; 3; 17
181; 2; 19
182; 1; 17
183; 2; 15
184; 1; 13
185; 3; 12
186; 4; 14
187; 3; 16
188; 4; 18
189; 5; 20
190; 6; 22
191; 8; 23
192; 10; 24
193; 12; 25
194; 14; 26
195; 16; 27
196; 18; 28
197; 20; 29
198; 22; 30
199; 21; 28
200; 23; 29
201; 25; 30
202; 24; 28
203; 23; 30
204; 21; 29
205; 19; 28
206; 17; 27
207; 15; 26
208; 14; 24
209; 13; 26
210; 15; 27
211; 16; 25
212; 18; 26
213; 20; 27
214; 22; 28
215; 24; 29
216; 26; 30
217; 28; 29
218; 30; 30
219; 29; 28
220; 30; 26
221; 28; 25
222; 30; 24
223; 29; 26
224; 30; 28
225; 29; 30
226; 27; 29
227; 25; 28
228; 27; 27
229; 25; 26
230; 23; 27
231; 21; 26
232; 19; 27
233; 17; 26
234; 15; 25
235; 13; 24
236; 11; 25
237; 9; 24
238; 7; 23
239; 8; 21
240; 10; 22
241; 12; 23
242; 14; 22
243; 16; 23
244; 18; 24
245; 19; 26
246; 21; 27
247; 23; 28
248; 25; 29
249; 27; 30
250; 26; 28
251; 24; 27
252; 22; 26
253; 20; 25
254; 22; 24
255; 23; 26
256; 25; 27
257; 27; 28
258; 29; 29
259; 28; 27
260; 26; 26
261; 24; 25
262; 26; 24
263; 27; 26
264; 28; 28
265; 30; 27
266; 29; 25
267; 30; 23
268; 28; 24
269; 29; 22
270; 30; 20
271; 28; 21
272; 30; 22
273; 29; 24
274; 28; 26
275; 26; 27
276; 27; 25
277; 28; 23
278; 29; 21
279; 30; 19
280; 28; 20
281; 27; 22
282; 25; 23
283; 27; 24
284; 25; 25
285; 23; 24
286; 24; 26
287; 26; 25
288; 27; 23
289; 25; 24
290; 23; 25
291; 22; 27
292; 21; 25
293; 20; 23
294; 19; 25
295; 18; 27
296; 17; 25
297; 15; 24
298; 16; 26
299; 14; 25
300; 12; 24
301; 10; 23
302; 8; 22
303; 6; 21
304; 4; 20
305; 3; 18
306; 5; 19
307; 7; 20
308; 9; 21
309; 11; 22
310; 13; 23
311; 12; 21
312; 11; 23
313; 9; 22
314; 7; 21
315; 6; 19
316; 8; 20
