rus,eng,translations,model_translation
мы должны оставить это место,we must leave this place,we have to leave this place,we should to get this
том рассказывает нам анекдоты,tom tells us jokes,tom <unk> us to get some sleep,tom tom us
ты у остальных спрашивал,have you asked the others,did you ask your father,did you ask the
вы почему не в школе,why aren't you at school,why are n't you in school,why aren't you not school
ты оставил утюг включённым,you left the iron on,did you leave the message yet,did you the gas gas
сделай погромче,turn the volume up,turn it up,turn the volume volume
где был том,where's tom been,where was tom,where was tom
ты чего за мной ходишь,what are you following me around for,why are you following me,why are you going me me
том стал успешным адвокатом,tom became a successful lawyer,tom became a lawyer,tom became a successful lawyer lawyer
том не умеет завязывать шнурки,tom doesn't know how to tie his shoes,tom does n't know how to tie a tie,tom can't know how to his his shoelaces
всё происходит слишком быстро,everything is happening too quickly,everything is too fast,everything all too quickly
дайте мне ваш адрес,give me your address,give me your address,give me your address
том бросил семью,tom has left his family,tom abandoned his family,tom threw his family
я не так уж молода,i'm not that young,that 's not why i 'm handsome,i'm not so
час ходьбы до вокзала,it's an hour's walk to the station,the apples is <unk> in the afternoon,it is is to to the the station
я племянник тома,i'm tom's nephew,i 'm tom 's bodyguard,i'm tom's tom
я дал ей конфет,i gave her some candy,i gave her a lift,i gave her a candy
том часто пропускает школу,tom often skips school,tom often gets school,tom often often absent school school
тебя томом зовут да,your name is tom isn't it,tom is your name is n't you,your your name isn't
том ещё ребёнок,tom is still a child,tom is still a baby,tom is a a kid
когда вернётесь,when will you return,when will you be back,when will you come
том не мог слышать мэри,tom couldn't hear mary,tom could n't hear mary,tom couldn't find mary mary mary
когда ты видел тома,when did you see tom,when did you see tom,when did you see tom
все плачут,everyone cries,everyone 's crying,everyone's cry
это поможет,will it help,this'll help,that'll helps help
тому было весело с мэри,tom had fun with mary,tom had fun with mary,tom was having for mary mary
вы двое работаете вместе,do you two work together,do you two work together,are you guests at together
ищи дальше,keep searching,keep digging,the have inside
том сам приготовил ужин,tom prepared dinner by himself,tom cooked dinner,tom has his dinner
пришла ваша мама,your mom is here,your mother is here,it's is your mom
я принёс обед,i've brought lunch,i brought lunch,i brought lunch lunch
мне не нравится этот свитер,i don't like this sweater,i do n't like that sweater,i don't like this sweater
сложные проблемы требуют творческих решений,difficult problems require imaginative solutions,<unk> are <unk> <unk> problems,it's is a a a
том коснулся плеча мэри,tom touched mary on the shoulder,tom <unk> mary 's lawn,tom touched mary's mary's
я уже замужем,i'm already married,i 'm already married,i'm already married
можешь починить мне кран,can you fix my faucet,can you repair me a coin,can you translate me a of of
я видел что вы сделали,i saw what you did,i saw you did n't you,i saw you you did
думаю нам нужно позвонить 911,i think we need to call 911,i think we need to call a plumber,i think we should to briefly
сначала вы должны попросить разрешения,you should ask for permission first,you should ask for permission,you you should asked for
мой отец курит,my father smokes,my father is old,my father is
ничего не произошло,nothing's happening,nothing happened,nothing happened
ты явно ошибался,you were clearly mistaken,you obviously mistaken,you finally were wrong
не уходите без нас пожалуйста,please don't leave without us,please leave without us,please don't without us us
том больше не учитель,tom isn't a teacher anymore,tom is n't a teacher anymore,tom isn't a a teacher
я не злился на тебя,i wasn't mad at you,i 'm not mad at you,i wasn't angry with you
это настоящая причина,that's the real reason,is that real true,this is only reason
том совсем как ты,tom is just like you,tom is as as you 're jealous,tom is like of
том поехал к родителям,tom went to his parents' place,tom went to his parents,tom went to to parents
вас видели,you were seen,you saw the exam,did you you
том и мэри — учителя,tom and mary are teachers,tom and mary are a teacher,tom and mary are a teacher
мне не нравится эта игра,i don't like this game,i do n't like this game,i don't like this game
том выгуливал собаку каждый день,tom walked his dog every day,tom <unk> his dog every day,tom has his house day
я объясню это позже,i'll explain this later,i 'll explain it later,i'll explain it later
том прятался за дверью,tom was hiding behind the door,tom hid behind the door,tom hid hiding behind door door
возвращайся внутрь,come back inside,come back inside,come inside inside
очевидно это была шутка,it was obviously a joke,obviously was that joke,it was was a joke joke
вкусно было,was it good,it was good,it was cold
просто дай немного времени,just give it a little time,just give me a little time,just give a little
врачи смотрят на рентгеновский снимок,the doctors are looking at an x-ray,the doctors is looking for the <unk>,the are looking in the police
послушай нас с томом,listen to tom and me,listen to tom,listen us to with tom
где ты оставляешь машину,where do you park,where did you park the car,where are you car
вот ваша газета,this is your newspaper,here is your newspaper,here's your your
в вышине парила птица,a bird soared above,a bird bird is <unk>,is a a
мой сын мог погибнуть,my son could've died,my son could be a lawyer,my son could died
мой будильник не сработал,my alarm didn't go off,my <unk> is n't mine,i strike left not
том обожает играть на пианино,tom loves playing the piano,tom likes playing piano,tom loves playing play piano
мне надо извиниться перед томом,i have to apologize to tom,i have to apologize to tom,i should to apologize tom tom
принеси свой купальник,bring your swimsuit,bring your <unk>,bring your textbook suit
то коричневое тоже моё,that brown one is mine too,that <unk> is too difficult,your also
дверь медленно закрылась,the door closed slowly,the door opened slowly,the door wide wide
я не разулся,i didn't take my shoes off,i 'm not a <unk>,i didn't take his shoes shoes
вам меня не купить,you can't buy me,you ca n't buy me,don't you like me
я могу это уладить,i can arrange that,i can arrange that,i i memorize it
подождите минутку я сейчас вернусь,wait a minute i'll be right back,wait for me i 'll be back in the afternoon,wait for minute i'll back return back
мы сделали это первыми,we were the first ones to do that,we did it by ourselves,we did it first
я чувствую себя намного лучше,i feel much better,i feel a lot better,i feel like better better
я сегодня в бостоне,i'm in boston today,i 'm in boston today,i'm leaving in boston
том был очень несправедлив,tom was very unfair,tom was very <unk>,tom was very very
этот подарок тебе,this gift is for you,this gift is for you,this one is you you
передай от меня привет тому,give my regards to tom,get me from tom,hand hello regards tom tom
сейчас утро,it's morning,it 's now morning,it's cold morning morning
у вас ручка есть,do you have a pen,do you have a pen,do you have a pen
к президенту трудно подойти,the president is difficult to approach,it 's difficult to get warm,it's hard to to
комната очень яркая,the room is very bright,the room is very warm,the room is a big
мы внесли много улучшений,we've made many improvements,we discussed many goods,we have lot
том не смог нам помочь,tom couldn't help us,tom could n't help us,tom wasn't able us to us
я управляю небольшим бизнесом,i run a small business,i 'm a <unk> <unk>,i'm am
мне это подходит,this is good for me,i 'm curious with that,i'm pleases for
это в гараже,it's in the garage,it 's in the garage,this in the garage
как вы уговорили тома спеть,how did you convince tom to sing,how did you persuade tom,how are you sing tom
мы его нашли,we've found it,we found it,we found it
разве ты не помнишь тома,don't you remember tom,are n't you tom 's dog,don't you you tom
слушай меня внимательно пожалуйста,please listen to me carefully,listen to me carefully,please listen call closely carefully
скажите мне пожалуйста какую брать,please tell me which one to take,please tell me which one to take,please tell me which one should to
я без вас не уйду,i won't leave without you,i wo n't leave you,i won't leave you you
я здесь уже три часа,i've been here for three hours,i 've been here for three hours,i've been here for three three
я последний кто видел тома,i'm the last one who saw tom,i saw tom 's cooking,i'm the one who who who
я пришёл поздороваться,i came to say hi,i came in <unk>,i came to
в комнате была напряжённая атмосфера,there was a tense atmosphere in the room,the room was full of order,the room was a unfortunate
когда у меня операция,when is my surgery,when do i get the surgery,when have my have
риски слишком велики,the risks are too great,the <unk> is too high,the one is
она вынесет долгое путешествие,can she endure a long trip,she <unk> her trip,she is a a
похоже кое-кто ревнует,it looks like someone's jealous,it seems that they 're jealous,it seems to we
я хочу торта,i want some cake,i want a cake,i want to cake cake
этого я пока не знаю,that's what i don't know yet,i do n't know that yet,i can't i i yet
не думаю что это нормально,i don't think this is normal,i do n't think that 's normal,i don't think it's ok
я столкнулся со своим другом,i ran into my friend,i 'm engaged to my friend,i'm share my my friend
нам это не понадобилось,we didn't need that,we do n't care about that,we didn't need that
младенец крепко спал,the baby was fast asleep,the <unk> was asleep,the baby flew asleep asleep
ты сам себе противоречишь,you're contradicting yourself,you 're contradicting yourself,you're contradicting yourself yourself
я тоже поехал в австралию,i went to australia too,i went to australia too,i also went to australia
это не так далеко,it's not that far,it 's not so far,this isn't so far
мать тома такая болтушка,tom's mother is such a gossip,tom 's mother is always so lazy,tom's mother is
почему тебе никто не помог,why didn't somebody help you,why did n't anybody help you,why didn't you help you
я купил машину,i've bought a car,i bought a car,i bought a car
она суровая женщина,she's a tough woman,she is a woman woman,she is a famous woman
я сделаю это один,i'll do it alone,i 'll do that alone,i'll do it alone
это ваши дети,are these children yours,are these your children,are these your kids
я здесь не туфли покупать,i'm not here to buy shoes,i 'm not a doctor here,i don't live i of homework homework homework
когда ты приедешь,when will you arrive,when did you get married,when will you come
где ты припарковался,where did you park,where are you parked,where did you your on
том может знать ответ,tom might know the answer,tom can answer the answer,tom can know the answer
я просидел здесь всю ночь,i've been sitting here all night,i stayed here all night,i was here all all all
это была бы трудная работа,the job would be difficult,that would be a difficult job,it would be hard
