epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.61852,1.33611,2.86921,1.64364,0.57454,0.85,0.87817,0.63489,1.64738,1.07035,1.38135,0,0,0
2,8.10323,1.20416,2.69406,1.511,0.56574,0.85,0.8488,0.6319,1.64478,1.06028,1.37173,1.17822e-06,1.17822e-06,1.17822e-06
3,9.41078,1.1601,3.63341,1.57315,0.55956,0.85,0.85083,0.63276,1.66527,1.06101,1.37731,2.33288e-06,2.33288e-06,2.33288e-06
4,10.6897,1.27724,2.74018,1.38866,0.56026,0.85,0.84952,0.61586,1.65912,1.05348,1.37599,3.46397e-06,3.46397e-06,3.46397e-06
5,11.9669,1.37198,3.08503,1.72634,0.5651,0.85,0.85526,0.63771,1.65728,1.04075,1.36954,4.5715e-06,4.5715e-06,4.5715e-06
6,13.2991,1.56189,4.11418,1.96485,0.54414,0.85,0.8936,0.63825,1.68403,1.05837,1.37583,5.65548e-06,5.65548e-06,5.65548e-06
7,14.6121,1.13976,1.91306,1.41952,0.53944,0.85173,0.89406,0.64255,1.68267,1.05915,1.37528,6.71588e-06,6.71588e-06,6.71588e-06
8,15.8691,1.37611,4.01878,1.61443,0.55029,0.85949,0.85911,0.61257,1.64201,1.05719,1.35113,7.75273e-06,7.75273e-06,7.75273e-06
9,17.146,1.11618,2.70406,1.41099,0.56884,0.86386,0.81827,0.59503,1.6635,1.05919,1.36163,8.76602e-06,8.76602e-06,8.76602e-06
10,18.4779,1.18655,3.44731,1.59516,0.57996,0.86406,0.81417,0.59502,1.65531,1.05637,1.35492,9.75574e-06,9.75574e-06,9.75574e-06
11,19.7602,1.20761,2.4692,1.45278,0.59064,0.8637,0.85595,0.61995,1.65247,1.063,1.35423,1.07219e-05,1.07219e-05,1.07219e-05
12,21.0348,0.9914,2.00612,1.36598,0.58565,0.86399,0.85561,0.62083,1.66151,1.07352,1.36184,1.16645e-05,1.16645e-05,1.16645e-05
13,22.2948,0.87115,2.2381,1.132,0.59052,0.86667,0.85501,0.62082,1.64835,1.07325,1.35181,1.25835e-05,1.25835e-05,1.25835e-05
14,23.5552,1.0832,2.1887,1.4836,0.59793,0.86667,0.88803,0.62731,1.65165,1.09378,1.35624,1.3479e-05,1.3479e-05,1.3479e-05
15,24.871,0.92887,1.64808,1.12293,0.60723,0.86667,0.88802,0.62731,1.65073,1.10137,1.35735,1.43509e-05,1.43509e-05,1.43509e-05
16,26.1446,1.22336,2.48055,1.62356,0.61055,0.86667,0.87512,0.62676,1.66235,1.12288,1.36697,1.51993e-05,1.51993e-05,1.51993e-05
17,27.4149,0.8444,1.78458,1.19115,0.62052,0.7,0.87291,0.62795,1.66148,1.13325,1.36991,1.60241e-05,1.60241e-05,1.60241e-05
18,28.6628,1.1567,1.55192,1.36044,0.62052,0.7,0.87291,0.62795,1.66148,1.13325,1.36991,1.68253e-05,1.68253e-05,1.68253e-05
19,29.9539,0.97843,1.90563,1.1355,0.77483,0.65,0.86188,0.61114,1.66856,1.17684,1.37892,1.7603e-05,1.7603e-05,1.7603e-05
20,31.1988,0.89711,1.53574,1.21097,0.77483,0.65,0.86188,0.61114,1.66856,1.17684,1.37892,1.83571e-05,1.83571e-05,1.83571e-05
21,32.4679,1.29223,2.49851,1.71343,0.77119,0.65,0.85531,0.6099,1.68121,1.21214,1.38577,1.90876e-05,1.90876e-05,1.90876e-05
22,33.7979,1.08325,2.33907,1.51913,0.77119,0.65,0.85531,0.6099,1.68121,1.21214,1.38577,1.97946e-05,1.97946e-05,1.97946e-05
23,35.1475,1.05868,1.82063,1.47226,0.74589,0.65,0.85514,0.6192,1.68024,1.23186,1.38349,2.0478e-05,2.0478e-05,2.0478e-05
24,36.379,1.12425,2.21394,1.54038,0.74589,0.65,0.85514,0.6192,1.68024,1.23186,1.38349,2.11379e-05,2.11379e-05,2.11379e-05
25,37.6348,0.83464,1.46993,1.21033,0.71049,0.65473,0.85534,0.61104,1.68066,1.27384,1.38322,2.17741e-05,2.17741e-05,2.17741e-05
26,38.8658,1.15282,1.85952,1.45066,0.71049,0.65473,0.85534,0.61104,1.68066,1.27384,1.38322,2.23869e-05,2.23869e-05,2.23869e-05
27,40.1268,0.91843,1.67099,1.39784,0.70524,0.6685,0.85545,0.61336,1.70155,1.30249,1.39809,2.2976e-05,2.2976e-05,2.2976e-05
28,41.3628,0.80106,1.24172,1.14049,0.70524,0.6685,0.85545,0.61336,1.70155,1.30249,1.39809,2.35417e-05,2.35417e-05,2.35417e-05
29,42.6334,0.99737,1.52716,1.27177,0.70067,0.67248,0.85551,0.61082,1.67032,1.3097,1.37775,2.40837e-05,2.40837e-05,2.40837e-05
30,43.8717,1.26561,2.34977,1.59811,0.70067,0.67248,0.85551,0.61082,1.67032,1.3097,1.37775,2.46022e-05,2.46022e-05,2.46022e-05
31,45.1868,0.97959,1.43339,1.29407,0.69188,0.66667,0.85204,0.60885,1.68069,1.34643,1.3837,2.50971e-05,2.50971e-05,2.50971e-05
32,46.5447,0.81024,1.26022,1.21402,0.69188,0.66667,0.85204,0.60885,1.68069,1.34643,1.3837,2.55685e-05,2.55685e-05,2.55685e-05
33,47.7827,0.78165,1.31853,1.34265,0.67238,0.68914,0.85241,0.60751,1.66617,1.37779,1.37979,2.60163e-05,2.60163e-05,2.60163e-05
34,49.1444,1.05737,1.2516,1.31047,0.67238,0.68914,0.85241,0.60751,1.66617,1.37779,1.37979,2.64405e-05,2.64405e-05,2.64405e-05
35,50.4162,0.88716,2.16521,1.30328,0.66428,0.7,0.85262,0.59109,1.68116,1.41222,1.38794,2.68412e-05,2.68412e-05,2.68412e-05
36,51.6401,0.96218,1.47733,1.20111,0.66428,0.7,0.85262,0.59109,1.68116,1.41222,1.38794,2.72183e-05,2.72183e-05,2.72183e-05
37,52.9094,0.78396,1.1146,1.17306,0.64698,0.7,0.8524,0.5836,1.64937,1.44751,1.37011,2.75718e-05,2.75718e-05,2.75718e-05
38,54.1382,0.45788,0.70339,0.96922,0.64698,0.7,0.8524,0.5836,1.64937,1.44751,1.37011,2.79018e-05,2.79018e-05,2.79018e-05
39,55.4393,0.64685,0.93532,1.0205,0.67388,0.69073,0.85257,0.56179,1.6249,1.47914,1.36476,2.82082e-05,2.82082e-05,2.82082e-05
40,56.7028,0.80203,0.83737,1.16673,0.67388,0.69073,0.85257,0.56179,1.6249,1.47914,1.36476,2.84911e-05,2.84911e-05,2.84911e-05
41,57.9652,0.75765,0.92574,1.06114,0.68205,0.66551,0.76929,0.48791,1.59495,1.48938,1.35656,2.87504e-05,2.87504e-05,2.87504e-05
42,59.1918,0.88003,1.88283,1.2773,0.68205,0.66551,0.76929,0.48791,1.59495,1.48938,1.35656,2.89861e-05,2.89861e-05,2.89861e-05
43,60.467,0.84655,1.22147,1.22837,0.67828,0.65,0.76238,0.47306,1.62168,1.52879,1.38443,2.91983e-05,2.91983e-05,2.91983e-05
44,61.7707,1.07497,0.98523,1.4513,0.67828,0.65,0.76238,0.47306,1.62168,1.52879,1.38443,2.93869e-05,2.93869e-05,2.93869e-05
45,63.0564,0.61284,0.92502,0.99461,0.69173,0.65,0.76251,0.47229,1.61013,1.5454,1.38094,2.9552e-05,2.9552e-05,2.9552e-05
46,64.3892,0.81888,0.9971,1.26848,0.69173,0.65,0.76251,0.47229,1.61013,1.5454,1.38094,2.96935e-05,2.96935e-05,2.96935e-05
47,65.6728,0.8852,1.46209,1.36107,0.73609,0.65,0.7323,0.43907,1.62286,1.60166,1.38704,2.98114e-05,2.98114e-05,2.98114e-05
48,66.9347,0.78689,1.63244,1.172,0.73609,0.65,0.7323,0.43907,1.62286,1.60166,1.38704,2.99058e-05,2.99058e-05,2.99058e-05
