epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.04588,3.44236,5.57275,4.33973,0,0,0,0,3.38003,5.96607,4.1588,0,0,0
2,7.36231,3.28395,5.63161,4.21308,0,0,0,0,3.38019,5.96613,4.15872,1.17822e-06,1.17822e-06,1.17822e-06
3,8.61198,3.18087,5.39173,4.26674,0,0,0,0,3.38036,5.96622,4.15864,2.33288e-06,2.33288e-06,2.33288e-06
4,9.86372,3.14297,5.51613,4.34743,0,0,0,0,3.38053,5.96631,4.15856,3.46397e-06,3.46397e-06,3.46397e-06
5,11.156,3.42314,5.44642,4.26089,0,0,0,0,3.3807,5.96652,4.15848,4.5715e-06,4.5715e-06,4.5715e-06
6,12.7001,2.82384,5.33786,4.23147,0,0,0,0,3.38084,5.96657,4.15841,5.65548e-06,5.65548e-06,5.65548e-06
7,14.0444,2.8849,5.63407,4.42434,0,0,0,0,3.38098,5.96668,4.15834,6.71588e-06,6.71588e-06,6.71588e-06
8,15.3661,3.53506,5.53503,4.35872,0,0,0,0,3.38114,5.96689,4.15825,7.75273e-06,7.75273e-06,7.75273e-06
9,16.642,3.11277,5.50851,4.24906,0,0,0,0,3.38131,5.96708,4.15816,8.76602e-06,8.76602e-06,8.76602e-06
10,18.0357,3.48323,5.48806,4.25123,0,0,0,0,3.38148,5.96741,4.15808,9.75574e-06,9.75574e-06,9.75574e-06
11,19.4067,3.36296,5.7012,4.26928,0,0,0,0,3.38164,5.96755,4.15799,1.07219e-05,1.07219e-05,1.07219e-05
12,20.6989,3.09066,5.70707,4.28236,0,0,0,0,3.38179,5.96774,4.15792,1.16645e-05,1.16645e-05,1.16645e-05
13,22.0488,3.22744,5.60583,4.21518,0,0,0,0,3.38195,5.96794,4.15785,1.25835e-05,1.25835e-05,1.25835e-05
14,23.313,2.73222,5.41505,4.31195,0,0,0,0,3.38211,5.96843,4.15778,1.3479e-05,1.3479e-05,1.3479e-05
15,24.5781,3.02373,5.71274,4.26556,0,0,0,0,3.38229,5.96887,4.15771,1.43509e-05,1.43509e-05,1.43509e-05
