epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.551744,0.96459,2.35229,1.28501,0.58156,0.85,0.87795,0.63553,1.65129,1.07219,1.37772,0,0,0
2,1.46527,1.24998,3.26935,1.64555,0.58417,0.85,0.84888,0.6323,1.67042,1.05678,1.38819,1.17822e-06,1.17822e-06,1.17822e-06
3,2.13278,1.34786,3.61914,1.61109,0.58508,0.85,0.85425,0.62138,1.68608,1.05568,1.38923,2.33288e-06,2.33288e-06,2.33288e-06
4,2.78523,1.02543,2.71071,1.2745,0.57153,0.85,0.85525,0.638,1.67767,1.05009,1.37781,3.46397e-06,3.46397e-06,3.46397e-06
5,3.42773,1.32085,2.93379,1.61353,0.60958,0.92998,0.90686,0.6436,1.68229,1.05869,1.37421,4.5715e-06,4.5715e-06,4.5715e-06
6,4.05096,0.93585,2.18339,1.2158,0.55096,0.85,0.86892,0.63125,1.66386,1.05518,1.36181,5.65548e-06,5.65548e-06,5.65548e-06
7,4.63427,1.3966,3.81682,1.74897,0.55731,0.85023,0.86013,0.61252,1.68175,1.06334,1.37031,6.71588e-06,6.71588e-06,6.71588e-06
8,5.21595,1.44298,3.79465,1.81032,0.55842,0.85,0.86103,0.61246,1.69739,1.08474,1.37754,7.75273e-06,7.75273e-06,7.75273e-06
9,5.77908,1.3326,2.77745,1.46719,0.55919,0.86311,0.861,0.6124,1.69052,1.09169,1.37218,8.76602e-06,8.76602e-06,8.76602e-06
10,6.33172,1.22634,2.31675,1.57889,0.57387,0.86667,0.81809,0.5951,1.68537,1.09371,1.36801,9.75574e-06,9.75574e-06,9.75574e-06
11,6.98888,1.0836,1.59205,1.34798,0.57938,0.86259,0.81823,0.61182,1.68581,1.09274,1.36884,1.07219e-05,1.07219e-05,1.07219e-05
12,7.53029,1.32759,2.67484,1.53849,0.59243,0.86254,0.85579,0.6165,1.68243,1.09723,1.36806,1.16645e-05,1.16645e-05,1.16645e-05
13,8.08431,1.00214,2.3676,1.34805,0.60025,0.86667,0.85573,0.61885,1.69094,1.11281,1.37275,1.25835e-05,1.25835e-05,1.25835e-05
14,8.63736,1.23269,2.04842,1.55143,0.78186,0.65,0.88661,0.62512,1.69095,1.12338,1.37291,1.3479e-05,1.3479e-05,1.3479e-05
15,9.182,1.20278,2.74134,1.49822,0.59671,0.86667,0.88779,0.62093,1.68779,1.12515,1.37144,1.43509e-05,1.43509e-05,1.43509e-05
16,9.73013,1.01209,2.068,1.37201,0.7996,0.65,0.88674,0.62076,1.69541,1.13193,1.37633,1.51993e-05,1.51993e-05,1.51993e-05
17,10.2947,1.01527,2.64844,1.35692,0.80517,0.65,0.8892,0.61716,1.69463,1.14443,1.3687,1.60241e-05,1.60241e-05,1.60241e-05
18,10.805,0.87399,2.27652,1.29266,0.80517,0.65,0.8892,0.61716,1.69463,1.14443,1.3687,1.68253e-05,1.68253e-05,1.68253e-05
19,11.3617,1.00588,1.64443,1.47866,0.80857,0.65,0.8807,0.6177,1.72445,1.17708,1.38471,1.7603e-05,1.7603e-05,1.7603e-05
20,11.8921,1.20174,2.30387,1.56883,0.80857,0.65,0.8807,0.6177,1.72445,1.17708,1.38471,1.83571e-05,1.83571e-05,1.83571e-05
21,12.4249,1.03731,2.25138,1.46639,0.805,0.65,0.86972,0.61787,1.75038,1.20425,1.39919,1.90876e-05,1.90876e-05,1.90876e-05
22,12.937,1.01935,2.33327,1.36657,0.805,0.65,0.86972,0.61787,1.75038,1.20425,1.39919,1.97946e-05,1.97946e-05,1.97946e-05
23,13.6123,0.90949,1.91006,1.47544,0.78054,0.65,0.85589,0.60961,1.7449,1.2435,1.39879,2.0478e-05,2.0478e-05,2.0478e-05
24,14.1631,0.77384,1.43316,1.18844,0.78054,0.65,0.85589,0.60961,1.7449,1.2435,1.39879,2.11379e-05,2.11379e-05,2.11379e-05
25,14.7715,0.69561,1.49476,1.08644,0.7376,0.66667,0.88913,0.62072,1.71932,1.24656,1.39007,2.17741e-05,2.17741e-05,2.17741e-05
26,15.3354,1.16288,1.78605,1.39428,0.7376,0.66667,0.88913,0.62072,1.71932,1.24656,1.39007,2.23869e-05,2.23869e-05,2.23869e-05
27,15.9064,0.94701,1.50587,1.26437,0.64865,0.69876,0.88284,0.61624,1.70543,1.26052,1.38807,2.2976e-05,2.2976e-05,2.2976e-05
28,16.4401,1.00694,1.39028,1.24216,0.64865,0.69876,0.88284,0.61624,1.70543,1.26052,1.38807,2.35417e-05,2.35417e-05,2.35417e-05
29,16.9964,1.13747,1.81618,1.54509,0.65695,0.69799,0.87371,0.62332,1.70523,1.30075,1.395,2.40837e-05,2.40837e-05,2.40837e-05
30,17.5308,0.80042,1.67089,1.42674,0.65695,0.69799,0.87371,0.62332,1.70523,1.30075,1.395,2.46022e-05,2.46022e-05,2.46022e-05
31,18.0828,1.22882,1.5234,1.62234,0.66158,0.69654,0.86642,0.61141,1.71078,1.34885,1.40332,2.50971e-05,2.50971e-05,2.50971e-05
32,18.61,0.94302,2.05919,1.4106,0.66158,0.69654,0.86642,0.61141,1.71078,1.34885,1.40332,2.55685e-05,2.55685e-05,2.55685e-05
33,19.2085,0.79553,1.12554,1.21988,0.66211,0.68333,0.85596,0.61032,1.66433,1.3919,1.38614,2.60163e-05,2.60163e-05,2.60163e-05
34,19.7772,1.21546,1.52918,1.48706,0.66211,0.68333,0.85596,0.61032,1.66433,1.3919,1.38614,2.64405e-05,2.64405e-05,2.64405e-05
35,20.4701,0.73038,1.11863,1.07254,0.66496,0.69281,0.85694,0.61153,1.65259,1.43207,1.38633,2.68412e-05,2.68412e-05,2.68412e-05
36,21.034,0.70717,1.59966,1.17506,0.66496,0.69281,0.85694,0.61153,1.65259,1.43207,1.38633,2.72183e-05,2.72183e-05,2.72183e-05
37,21.6864,1.09514,1.54393,1.60022,0.68579,0.69382,0.8564,0.6114,1.6283,1.49053,1.37899,2.75718e-05,2.75718e-05,2.75718e-05
38,22.2957,0.79838,1.42127,1.11924,0.68579,0.69382,0.8564,0.6114,1.6283,1.49053,1.37899,2.79018e-05,2.79018e-05,2.79018e-05
39,22.9229,0.55698,0.95865,0.96226,0.716,0.59995,0.8484,0.59457,1.65587,1.55161,1.39345,2.82082e-05,2.82082e-05,2.82082e-05
40,23.4958,0.84742,1.01467,1.32969,0.716,0.59995,0.8484,0.59457,1.65587,1.55161,1.39345,2.84911e-05,2.84911e-05,2.84911e-05
41,24.0676,0.71999,0.96192,1.06054,0.71371,0.59151,0.82023,0.54645,1.66876,1.57521,1.39919,2.87504e-05,2.87504e-05,2.87504e-05
42,24.6103,0.87932,1.26818,1.2049,0.71371,0.59151,0.82023,0.54645,1.66876,1.57521,1.39919,2.89861e-05,2.89861e-05,2.89861e-05
43,25.2122,0.61753,1.04817,1.14255,0.716,0.58078,0.68157,0.42264,1.66764,1.61323,1.40073,2.91983e-05,2.91983e-05,2.91983e-05
44,25.7621,0.99948,2.20643,1.37999,0.716,0.58078,0.68157,0.42264,1.66764,1.61323,1.40073,2.93869e-05,2.93869e-05,2.93869e-05
45,26.4662,0.74178,1.28696,1.1995,0.73837,0.68849,0.65473,0.39803,1.67045,1.68599,1.40082,2.9552e-05,2.9552e-05,2.9552e-05
46,26.9919,0.95788,1.50877,1.28149,0.73837,0.68849,0.65473,0.39803,1.67045,1.68599,1.40082,2.96935e-05,2.96935e-05,2.96935e-05
47,27.5667,1.13111,1.51356,1.45373,0.77347,0.40955,0.68416,0.38176,1.68579,1.76533,1.4116,2.98114e-05,2.98114e-05,2.98114e-05
48,28.1134,0.88053,0.80713,1.2863,0.77347,0.40955,0.68416,0.38176,1.68579,1.76533,1.4116,2.99058e-05,2.99058e-05,2.99058e-05
49,28.6583,0.72774,0.96109,1.18274,0.77322,0.40817,0.65574,0.35686,1.6818,1.79622,1.4119,2.99766e-05,2.99766e-05,2.99766e-05
50,29.2424,0.83,1.02473,1.21038,0.77322,0.40817,0.65574,0.35686,1.6818,1.79622,1.4119,3.00238e-05,3.00238e-05,3.00238e-05
51,29.7967,0.82818,0.9764,1.16192,0.77439,0.49077,0.53316,0.31593,1.67497,1.83582,1.40429,3.00475e-05,3.00475e-05,3.00475e-05
52,30.3279,0.77028,1.56309,1.1461,0.77439,0.49077,0.53316,0.31593,1.67497,1.83582,1.40429,3.00476e-05,3.00476e-05,3.00476e-05
53,30.8553,0.78817,0.87331,1.14062,0.77439,0.49077,0.53316,0.31593,1.67497,1.83582,1.40429,3.00242e-05,3.00242e-05,3.00242e-05
54,31.4137,0.72168,0.84084,1.27484,0.77462,0.48333,0.51129,0.28061,1.71106,1.94051,1.42205,2.99772e-05,2.99772e-05,2.99772e-05
55,31.9451,0.64605,1.21024,1.07412,0.77462,0.48333,0.51129,0.28061,1.71106,1.94051,1.42205,2.99066e-05,2.99066e-05,2.99066e-05
56,32.4657,0.85529,0.94174,1.34551,0.77462,0.48333,0.51129,0.28061,1.71106,1.94051,1.42205,2.98125e-05,2.98125e-05,2.98125e-05
57,33.1532,0.70782,0.70605,1.09516,0.77744,0.48333,0.53125,0.2771,1.73596,1.96526,1.43073,2.96948e-05,2.96948e-05,2.96948e-05
58,33.654,0.82925,0.65737,1.26872,0.77744,0.48333,0.53125,0.2771,1.73596,1.96526,1.43073,2.95535e-05,2.95535e-05,2.95535e-05
59,34.1716,0.97464,0.88441,1.16177,0.77744,0.48333,0.53125,0.2771,1.73596,1.96526,1.43073,2.93887e-05,2.93887e-05,2.93887e-05
60,34.7482,0.75999,1.17871,1.17771,0.78421,0.48333,0.52699,0.28592,1.71639,1.96056,1.41702,2.92003e-05,2.92003e-05,2.92003e-05
61,35.2755,0.75892,0.8396,1.0123,0.78421,0.48333,0.52699,0.28592,1.71639,1.96056,1.41702,2.89884e-05,2.89884e-05,2.89884e-05
62,35.7918,0.56681,0.64424,0.97135,0.78421,0.48333,0.52699,0.28592,1.71639,1.96056,1.41702,2.87529e-05,2.87529e-05,2.87529e-05
63,36.3488,0.86232,1.44623,1.30366,0.78534,0.48333,0.51792,0.28044,1.71373,2.01833,1.42007,2.84938e-05,2.84938e-05,2.84938e-05
64,36.8419,0.7839,0.83297,1.23017,0.78534,0.48333,0.51792,0.28044,1.71373,2.01833,1.42007,2.82112e-05,2.82112e-05,2.82112e-05
65,37.3428,0.71897,0.81131,1.16156,0.78534,0.48333,0.51792,0.28044,1.71373,2.01833,1.42007,2.7905e-05,2.7905e-05,2.7905e-05
66,37.9174,0.76793,1.41636,1.14678,0.79001,0.48333,0.52422,0.27233,1.70268,2.03504,1.41552,2.75753e-05,2.75753e-05,2.75753e-05
67,38.5339,0.81979,1.27554,1.25055,0.79001,0.48333,0.52422,0.27233,1.70268,2.03504,1.41552,2.7222e-05,2.7222e-05,2.7222e-05
68,39.0312,0.80959,1.00186,1.1384,0.79001,0.48333,0.52422,0.27233,1.70268,2.03504,1.41552,2.68451e-05,2.68451e-05,2.68451e-05
69,39.557,0.78564,0.81792,1.16353,0.79167,0.48333,0.52008,0.27606,1.70874,2.05794,1.41169,2.64447e-05,2.64447e-05,2.64447e-05
70,40.0639,0.64085,0.65121,1.00375,0.79167,0.48333,0.52008,0.27606,1.70874,2.05794,1.41169,2.60207e-05,2.60207e-05,2.60207e-05
71,40.6182,0.70468,0.70853,1.09938,0.79167,0.48333,0.52008,0.27606,1.70874,2.05794,1.41169,2.55731e-05,2.55731e-05,2.55731e-05
72,41.154,0.53184,0.67549,1.03728,0.81213,0.48333,0.53676,0.27597,1.78513,2.10642,1.46942,2.5102e-05,2.5102e-05,2.5102e-05
73,41.6719,0.80812,0.7427,1.20805,0.81213,0.48333,0.53676,0.27597,1.78513,2.10642,1.46942,2.46073e-05,2.46073e-05,2.46073e-05
74,42.18,0.64782,0.64333,1.17994,0.81213,0.48333,0.53676,0.27597,1.78513,2.10642,1.46942,2.40891e-05,2.40891e-05,2.40891e-05
75,42.7281,0.79282,0.63772,1.07196,0.81145,0.48333,0.53851,0.26827,1.76517,2.13227,1.45557,2.35472e-05,2.35472e-05,2.35472e-05
76,43.239,0.64962,0.6756,1.03568,0.81145,0.48333,0.53851,0.26827,1.76517,2.13227,1.45557,2.29819e-05,2.29819e-05,2.29819e-05
77,43.7698,0.74581,0.78425,1.10608,0.81145,0.48333,0.53851,0.26827,1.76517,2.13227,1.45557,2.23929e-05,2.23929e-05,2.23929e-05
78,44.3816,0.81039,1.00242,1.2408,0.81595,0.48333,0.53508,0.26929,1.75302,2.13049,1.46063,2.17805e-05,2.17805e-05,2.17805e-05
79,44.9174,0.67844,0.86326,1.11817,0.81595,0.48333,0.53508,0.26929,1.75302,2.13049,1.46063,2.11444e-05,2.11444e-05,2.11444e-05
80,45.4401,0.65862,0.66055,1.01717,0.81595,0.48333,0.53508,0.26929,1.75302,2.13049,1.46063,2.04848e-05,2.04848e-05,2.04848e-05
81,46.0086,0.83491,0.97247,1.31042,0.80716,0.48333,0.53395,0.27142,1.74881,2.11546,1.45376,1.98016e-05,1.98016e-05,1.98016e-05
82,46.5271,0.77451,0.62643,1.29191,0.80716,0.48333,0.53395,0.27142,1.74881,2.11546,1.45376,1.90949e-05,1.90949e-05,1.90949e-05
83,47.0565,0.76479,0.74947,1.31473,0.80716,0.48333,0.53395,0.27142,1.74881,2.11546,1.45376,1.83646e-05,1.83646e-05,1.83646e-05
84,47.6498,0.69881,0.76874,1.08868,0.82247,0.48333,0.53082,0.27306,1.77566,2.12445,1.47497,1.76107e-05,1.76107e-05,1.76107e-05
85,48.1962,0.73632,0.9208,1.14248,0.82247,0.48333,0.53082,0.27306,1.77566,2.12445,1.47497,1.68333e-05,1.68333e-05,1.68333e-05
86,48.7256,0.66482,1.03849,1.09369,0.82247,0.48333,0.53082,0.27306,1.77566,2.12445,1.47497,1.60323e-05,1.60323e-05,1.60323e-05
87,49.2619,1.17293,1.64236,1.64155,0.82247,0.48333,0.53082,0.27306,1.77566,2.12445,1.47497,1.52077e-05,1.52077e-05,1.52077e-05
88,49.9267,0.62693,0.85264,1.07419,0.84067,0.48011,0.53425,0.25847,1.80235,2.15155,1.50905,1.43596e-05,1.43596e-05,1.43596e-05
89,50.4299,0.60723,0.62735,1.30753,0.84067,0.48011,0.53425,0.25847,1.80235,2.15155,1.50905,1.34879e-05,1.34879e-05,1.34879e-05
90,50.9734,0.88019,0.79782,1.28919,0.84067,0.48011,0.53425,0.25847,1.80235,2.15155,1.50905,1.25927e-05,1.25927e-05,1.25927e-05
91,54.5519,0.53922,0.54081,0.94793,0.84067,0.48011,0.53425,0.25847,1.80235,2.15155,1.50905,1.16739e-05,1.16739e-05,1.16739e-05
92,55.1569,0.48508,0.4703,0.83023,0.84728,0.48174,0.52327,0.2523,1.81914,2.17401,1.50102,1.07315e-05,1.07315e-05,1.07315e-05
93,55.6744,0.57669,0.52538,0.9548,0.84728,0.48174,0.52327,0.2523,1.81914,2.17401,1.50102,9.76562e-06,9.76562e-06,9.76562e-06
94,56.2303,0.56463,0.52197,1.01123,0.84728,0.48174,0.52327,0.2523,1.81914,2.17401,1.50102,8.77613e-06,8.77613e-06,8.77613e-06
95,56.7298,0.64205,0.60057,1.05525,0.84728,0.48174,0.52327,0.2523,1.81914,2.17401,1.50102,7.76308e-06,7.76308e-06,7.76308e-06
96,57.3684,0.64769,0.51049,1.22561,0.831,0.48333,0.51495,0.27546,1.75278,2.06108,1.43929,6.72648e-06,6.72648e-06,6.72648e-06
97,57.9085,0.61552,0.5513,0.98035,0.831,0.48333,0.51495,0.27546,1.75278,2.06108,1.43929,5.6663e-06,5.6663e-06,5.6663e-06
98,58.4021,0.57026,0.5384,1.09103,0.831,0.48333,0.51495,0.27546,1.75278,2.06108,1.43929,4.58257e-06,4.58257e-06,4.58257e-06
99,58.9288,0.48081,0.49831,0.90912,0.831,0.48333,0.51495,0.27546,1.75278,2.06108,1.43929,3.47528e-06,3.47528e-06,3.47528e-06
100,59.4716,0.46568,0.47958,0.99638,0.81461,0.48333,0.51052,0.26739,1.78236,1.98318,1.44709,2.34442e-06,2.34442e-06,2.34442e-06
